note,frequence
C,32.703 
C#,34.647 
D,36.708 
D#,38.890 
E,41.203 
F,43.653 
F#,46.249 
G,48.999 
G#,51.913 
A,55.000 
A#,58.270 
B,61.735 
C,65.406 
C#,69.295 
D,73.416 
D#,77.781 
E,82.406 
F,87.307 
F#,92.498 
G,97.998 
G#,103.826 
A,110.000 
A#,116.540 
B,123.470 
C,65.406 
C#,69.295 
D,73.416 
D#,77.781 
E,82.406 
F,87.307 
F#,92.498 
G,97.998 
G#,103.826 
A,110.000 
A#,116.540 
B,123.470 
C,130.812 
C#,138.591 
D,146.832 
D#,155.563 
E,164.813 
F,174.614 
F#,184.997 
G,195.997 
G#,207.652 
A,220.000 
A#,233.081 
B,246.941 
C,261.625 
C#,277.182 
D,293.664 
D#,311.126 
E,329.627 
F,349.228 
F#,369.994 
G,391.995 
G#,415.304 
A,440.000 
A#,466.163 
B,493.883 
C,523.251 
C#,554.365 
D,587.329 
D#,622.253 
E,659.255 
F,698.456 
F#,739.988 
G,783.991 
G#,830.609 
A,880.000 
A#,932.327 
B,987.766 
C,1046.502 
C#,1108.730 
D,1174.059 
D#,1244.507 
E,1318.510 
F,1396.912 
F#,1479.976 
G,1567.982 
G#,1661.218 
A,1760.000 
A#,1864.654 
B,1975.532 
C,2093.004 
C#,2217.460 
D,2344.318 
D#,2489.014 
E,2637.020 
F,2793.824 
F#,2959.952 
G,3135.964 
G#,3322.436 
A,3520.000 
A#,3729.308 
B,3951.064 
C,4186.008 
C#,4434.920 
D,4698.636 
D#,4978.028 
E,5274.040 
F,5587.648 
F#,5919.904 
G,6270.928 
G#,6644.872 
A,7040.000 
A#,7458.616 
B,7902.128 
C,8372.016 
C#,8869.840 
D,9397.272 
D#,9956.056 
E,10548.080 
F,11175.296 
F#,11839.808 
G,12541.856 
G#,13289.744 
A,14080.000 
A#,14917.232 
B,15804.256 
C,16744.032 
C#,17739.680 
D,18794.544 
D#,19912.112 
E,21096.160 
F,22350.592 
F#,23679.616 
G,25083.712 
G#,26579.488 
A,28160.000 
A#,29834.464 
B,31608.512 
